,date,team,opponent,venue,goals_scored,goals_conceded,npxg_created,sot_for,sca_for,npxg_conceded,sot_against,sca_against
0,2019-08-18,Alavés,Levante,Home,1,0,0.5,2,16,1.1,4,26
1,2019-08-25,Alavés,Espanyol,Home,0,0,0.8,2,20,0.2,1,10
2,2019-08-31,Alavés,Getafe,Away,1,1,1.0,1,5,1.0,1,24
3,2019-09-15,Alavés,Sevilla,Home,0,1,0.8,0,10,1.1,7,34
4,2019-09-22,Alavés,Athletic Club,Away,0,2,0.2,1,7,1.6,2,18
5,2019-09-26,Alavés,Real Sociedad,Away,0,3,0.3,0,9,2.3,5,38
6,2019-09-29,Alavés,Mallorca,Home,2,0,1.3,5,17,0.2,1,9
7,2019-10-05,Alavés,Valencia,Away,1,2,1.7,4,18,0.5,2,14
8,2019-10-20,Alavés,Celta Vigo,Home,2,0,2.1,5,24,1.3,2,22
9,2019-10-25,Alavés,Villarreal,Away,1,4,0.8,3,17,2.5,8,35
10,2019-10-29,Alavés,Atlético Madrid,Home,1,1,0.6,3,18,1.7,3,16
11,2019-11-03,Alavés,Osasuna,Away,2,4,0.7,2,19,2.1,4,30
12,2019-11-09,Alavés,Valladolid,Home,3,0,2.6,4,23,0.3,1,13
13,2019-11-24,Alavés,Eibar,Away,2,0,1.6,5,11,1.4,7,33
14,2019-11-30,Alavés,Real Madrid,Home,1,2,0.5,1,13,1.8,6,19
15,2019-12-07,Alavés,Granada,Away,0,3,0.3,1,8,1.7,2,23
16,2019-12-13,Alavés,Leganés,Home,1,1,1.2,3,18,0.7,1,6
17,2019-12-21,Alavés,Barcelona,Away,1,4,0.4,3,7,0.6,3,15
18,2020-01-05,Alavés,Betis,Home,1,1,0.3,1,11,1.1,2,20
19,2020-01-18,Alavés,Levante,Away,1,0,2.1,6,25,1.2,3,33
20,2020-01-25,Alavés,Villarreal,Home,1,2,0.9,5,21,1.0,6,21
21,2020-02-02,Alavés,Sevilla,Away,1,1,0.7,3,7,0.9,2,25
22,2020-02-07,Alavés,Eibar,Home,2,1,1.3,5,14,0.1,1,7
23,2020-02-15,Alavés,Mallorca,Away,0,1,0.9,0,18,1.4,5,26
24,2020-02-23,Alavés,Athletic Club,Home,2,1,1.0,3,8,0.8,4,21
25,2020-02-29,Alavés,Leganés,Away,1,1,0.9,4,13,1.1,6,33
26,2020-03-06,Alavés,Valencia,Home,1,1,1.0,2,24,0.7,2,11
27,2020-06-13,Alavés,Espanyol,Away,0,2,0.1,0,2,2.5,9,32
28,2020-06-18,Alavés,Real Sociedad,Home,2,0,1.5,7,28,0.5,1,15
29,2020-06-21,Alavés,Celta Vigo,Away,0,6,0.2,2,8,1.4,8,28
30,2020-06-24,Alavés,Osasuna,Home,0,1,0.9,0,10,1.1,1,13
31,2020-06-27,Alavés,Atlético Madrid,Away,1,2,0.3,1,11,1.0,3,27
32,2020-07-01,Alavés,Granada,Home,0,2,1.1,5,19,1.3,4,12
33,2020-07-04,Alavés,Valladolid,Away,0,1,0.4,0,9,0.5,3,8
34,2020-07-10,Alavés,Real Madrid,Away,0,2,1.2,4,17,1.4,7,36
35,2020-07-13,Alavés,Getafe,Home,0,0,0.2,1,3,0.7,4,23
36,2020-07-16,Alavés,Betis,Away,2,1,1.8,4,16,2.1,7,26
37,2020-07-19,Alavés,Barcelona,Home,0,5,0.3,0,13,3.3,8,31
38,2020-09-13,Alavés,Betis,Home,0,1,1.2,2,11,0.4,4,19
39,2020-09-20,Alavés,Granada,Away,1,2,0.7,3,10,2.2,3,16
40,2020-09-26,Alavés,Getafe,Home,0,0,1.3,0,16,1.1,4,21
41,2020-09-30,Alavés,Villarreal,Away,1,3,1.1,3,15,1.5,4,19
42,2020-10-04,Alavés,Athletic Club,Home,1,0,0.6,3,14,0.6,0,15
43,2020-10-18,Alavés,Elche,Home,0,2,1.7,2,23,0.8,3,8
44,2020-10-25,Alavés,Valladolid,Away,2,0,1.7,3,27,0.3,1,10
45,2020-10-31,Alavés,Barcelona,Home,1,1,1.2,3,6,1.9,8,48
46,2020-11-08,Alavés,Levante,Away,1,1,0.8,2,12,2.1,5,30
